--- Atoms: 
T('4139', '1206') Truth=[0.59]
T('2533', '3573') Truth=[0.34]
T('1393', '450') Truth=[0.55]
T('4590', '1857') Truth=[0]
T('314', '798') Truth=[0.67]
T('559', '1398') Truth=[0.29]
T('3384', '495') Truth=[0.67]
T('1491', '1863') Truth=[0]
T('610', '4694') Truth=[0]
T('2229', '2393') Truth=[0.67]
T('4865', '3915') Truth=[0.67]
T('4964', '2315') Truth=[0]
T('3481', '4960') Truth=[0]
T('2556', '1532') Truth=[0.45]
T('1457', '1463') Truth=[0.67]
T('3757', '2652') Truth=[0]
T('1990', '1273') Truth=[0.35]
T('4001', '4000') Truth=[0.54]
T('2123', '3117') Truth=[0.59]
T('3385', '495') Truth=[0.67]
T('2304', '4960') Truth=[0]
T('631', '2671') Truth=[0]
T('3422', '4871') Truth=[0.44]
T('1192', '1058') Truth=[0.67]
T('4231', '4856') Truth=[0.67]
T('69', '4421') Truth=[0.11]
T('3422', '4875') Truth=[0.44]
T('726', '1215') Truth=[0]
T('3422', '3543') Truth=[0.15]
T('3422', '4873') Truth=[0.44]
T('3422', '4872') Truth=[0.44]
T('3868', '100') Truth=[0.67]
T('3415', '2332') Truth=[0.67]
T('4231', '4854') Truth=[0.67]
T('4231', '4853') Truth=[0.67]
T('3771', '4234') Truth=[0]
T('3111', '4130') Truth=[0.24]
T('3519', '2011') Truth=[0.67]
T('3248', '1235') Truth=[0.3]
T('3422', '4868') Truth=[0.44]
T('3422', '4867') Truth=[0.44]
T('3422', '4866') Truth=[0.44]
T('89', '3741') Truth=[0]
T('1587', '3484') Truth=[0.47]
T('3422', '3539') Truth=[0.39]
T('3835', '2648') Truth=[0]
T('4231', '4847') Truth=[0.67]
T('3422', '4882') Truth=[0.44]
T('3422', '4880') Truth=[0.44]
T('1640', '1065') Truth=[0.17]
T('1805', '3557') Truth=[0.58]
T('1640', '1064') Truth=[0.17]
T('273', '2572') Truth=[0.13]
T('68', '4421') Truth=[0.08]
T('3073', '660') Truth=[0.42]
T('731', '2458') Truth=[0.67]
T('3422', '4886') Truth=[0.44]
T('3422', '4884') Truth=[0.44]
T('62', '3166') Truth=[0.1]
T('3073', '661') Truth=[0.47]
T('3073', '664') Truth=[0.42]
T('2801', '3969') Truth=[0.67]
T('2591', '2421') Truth=[0.3]
T('3582', '2916') Truth=[0.67]
T('4210', '4211') Truth=[0.67]
T('4865', '1380') Truth=[0.24]
T('3772', '4234') Truth=[0.45]
T('1640', '1060') Truth=[0.17]
T('1492', '4978') Truth=[0.28]
T('2776', '2906') Truth=[0.22]
T('1422', '4923') Truth=[0.48]
T('3441', '2871') Truth=[0.25]
T('1987', '544') Truth=[0.67]
T('3066', '791') Truth=[0.67]
T('3422', '4878') Truth=[0.44]
T('2776', '2904') Truth=[0.22]
T('4274', '450') Truth=[0.55]
T('4211', '4208') Truth=[0.67]
T('4740', '1060') Truth=[0.67]
T('273', '2564') Truth=[0.13]
T('4231', '4835') Truth=[0.67]
T('2511', '3832') Truth=[0.32]
T('2692', '2114') Truth=[0.17]
T('4231', '4833') Truth=[0.67]
T('4210', '4208') Truth=[0.67]
T('3422', '4853') Truth=[0.44]
T('1104', '3019') Truth=[0.25]
T('1916', '4472') Truth=[0.56]
T('1394', '3923') Truth=[0]
T('1394', '3926') Truth=[0]
T('4529', '1811') Truth=[0]
T('4231', '4831') Truth=[0.67]
T('2994', '2991') Truth=[0.59]
T('2510', '2511') Truth=[0.67]
T('1916', '4471') Truth=[0.42]
T('87', '3741') Truth=[0.3]
T('1422', '3626') Truth=[0.46]
T('4625', '4626') Truth=[0.67]
T('3645', '2250') Truth=[0]
T('4740', '1064') Truth=[0.67]
T('4740', '1065') Truth=[0.67]
T('4625', '4622') Truth=[0.67]
T('3422', '4847') Truth=[0.44]
T('2863', '1477') Truth=[0.67]
T('726', '2575') Truth=[0]
T('2511', '2510') Truth=[0.56]
T('1192', '1064') Truth=[0.67]
T('4231', '4828') Truth=[0.67]
T('1192', '1065') Truth=[0.67]
T('4231', '4827') Truth=[0.67]
T('3422', '4861') Truth=[0.44]
T('86', '3741') Truth=[0]
T('1100', '444') Truth=[0.48]
T('2127', '595') Truth=[0.59]
T('2671', '223') Truth=[0]
T('2584', '2539') Truth=[0.67]
T('1192', '1060') Truth=[0.67]
T('1923', '403') Truth=[0.5]
T('3422', '4856') Truth=[0.44]
T('4740', '1058') Truth=[0.67]
T('1702', '2541') Truth=[0.41]
T('1923', '405') Truth=[0.5]
T('3422', '4854') Truth=[0.44]
T('1822', '2871') Truth=[0.25]
T('2389', '2228') Truth=[0]
T('4231', '4812') Truth=[0.67]
T('3422', '4831') Truth=[0.44]
T('1497', '1860') Truth=[0.67]
T('4231', '4816') Truth=[0.67]
T('4865', '1350') Truth=[0.67]
T('2389', '2220') Truth=[0]
T('1694', '3051') Truth=[0.33]
T('811', '4154') Truth=[0.67]
T('4274', '4352') Truth=[0.29]
T('410', '4495') Truth=[0]
T('4195', '3926') Truth=[0.67]
T('4195', '3923') Truth=[0.57]
T('3467', '3004') Truth=[0]
T('3488', '3633') Truth=[0.33]
T('1587', '4773') Truth=[0.16]
T('3422', '4828') Truth=[0.44]
T('1587', '4774') Truth=[0.16]
T('3422', '4827') Truth=[0.44]
T('1816', '1645') Truth=[0.11]
T('3172', '360') Truth=[0.39]
T('4231', '4801') Truth=[0.67]
T('1816', '1643') Truth=[0.1]
T('1816', '1644') Truth=[0.3]
T('4865', '1349') Truth=[0.67]
T('2366', '329') Truth=[0.67]
T('4046', '2671') Truth=[0]
T('4865', '1343') Truth=[0.67]
T('2229', '1921') Truth=[0.13]
T('2510', '3832') Truth=[0.56]
T('1587', '4766') Truth=[0.16]
T('1587', '4767') Truth=[0.16]
T('1587', '4769') Truth=[0.16]
T('68', '4472') Truth=[0.09]
T('1110', '2460') Truth=[0.57]
T('3422', '4835') Truth=[0.44]
T('1789', '1921') Truth=[0.13]
T('68', '4471') Truth=[0.08]
T('3422', '4833') Truth=[0.44]
T('4231', '4808') Truth=[0.67]
T('2664', '322') Truth=[0.32]
T('1640', '1058') Truth=[0.17]
T('4024', '3377') Truth=[0]
T('4865', '3992') Truth=[0.67]
T('3404', '2444') Truth=[0]
T('2664', '1198') Truth=[0.05]
T('2147', '2444') Truth=[0]
T('4468', '2953') Truth=[0]
T('69', '4447') Truth=[0.18]
T('358', '355') Truth=[0.67]
T('121', '495') Truth=[0.67]
T('3422', '4808') Truth=[0.44]
T('358', '356') Truth=[0.59]
T('1587', '4791') Truth=[0.16]
T('3422', '4801') Truth=[0.44]
T('1491', '3646') Truth=[0]
T('2679', '4970') Truth=[0.67]
T('68', '4447') Truth=[0.12]
T('2582', '2514') Truth=[0.58]
T('4865', '2655') Truth=[0.67]
T('4447', '3646') Truth=[0.45]
T('2229', '1901') Truth=[0.19]
T('2273', '1388') Truth=[0.56]
T('3805', '2114') Truth=[0.33]
T('1587', '4789') Truth=[0.16]
T('1608', '679') Truth=[0.67]
T('1587', '4787') Truth=[0.16]
T('828', '2247') Truth=[0.45]
T('662', '4129') Truth=[0.43]
T('4046', '2654') Truth=[0.67]
T('1587', '4781') Truth=[0.16]
T('3422', '4812') Truth=[0.44]
T('3422', '4816') Truth=[0.44]
T('3645', '116') Truth=[0.3]
T('74', '3875') Truth=[0.67]
T('1666', '3423') Truth=[0.36]
T('74', '1215') Truth=[0]
T('2230', '3681') Truth=[0.67]
T('3200', '3543') Truth=[0.25]
T('1902', '2839') Truth=[0.37]
T('2230', '3680') Truth=[0.67]
T('876', '315') Truth=[0.55]
T('4504', '410') Truth=[0.31]
T('726', '87') Truth=[0]
T('2212', '4355') Truth=[0.47]
T('223', '4046') Truth=[0]
T('3481', '1937') Truth=[0]
T('715', '2648') Truth=[0.67]
T('1492', '1073') Truth=[0.55]
T('726', '69') Truth=[0]
T('2643', '1470') Truth=[0.4]
T('2994', '3478') Truth=[0.58]
T('726', '3805') Truth=[0]
T('3441', '718') Truth=[0.34]
T('3203', '3519') Truth=[0]
T('2994', '3480') Truth=[0.58]
T('2772', '3403') Truth=[0]
T('3766', '498') Truth=[0.59]
T('2282', '444') Truth=[0.33]
T('140', '2308') Truth=[0.45]
T('2432', '495') Truth=[0.67]
T('2986', '977') Truth=[0.5]
T('2230', '3663') Truth=[0.67]
T('2230', '3662') Truth=[0.67]
T('1789', '2456') Truth=[0.39]
T('2230', '3667') Truth=[0.67]
T('284', '276') Truth=[0.59]
T('1666', '3442') Truth=[0.49]
T('2279', '3124') Truth=[0.58]
T('1446', '2973') Truth=[0]
T('4231', '977') Truth=[0.14]
T('2212', '4330') Truth=[0.59]
T('3246', '410') Truth=[0.67]
T('1491', '200') Truth=[0]
T('2746', '1142') Truth=[0]
T('1791', '1055') Truth=[0.25]
T('284', '277') Truth=[0.67]
T('4944', '3975') Truth=[0.73]
T('830', '3463') Truth=[0.67]
T('4497', '3942') Truth=[0.5]
T('1797', '0') Truth=[0.67]
T('4290', '243') Truth=[0.51]
T('3741', '2882') Truth=[0.18]
T('1789', '2445') Truth=[0.67]
T('4206', '3038') Truth=[0.54]
T('641', '403') Truth=[0.67]
T('2230', '3677') Truth=[0.67]
T('3', '136') Truth=[0.34]
T('3172', '2506') Truth=[0.57]
T('2230', '3670') Truth=[0.67]
T('1188', '324') Truth=[0]
T('1937', '1188') Truth=[0]
T('2641', '1483') Truth=[0]
T('2641', '1480') Truth=[0]
T('2304', '1937') Truth=[0]
T('3645', '4046') Truth=[0]
T('828', '4869') Truth=[0.45]
T('4149', '4175') Truth=[0.45]
T('641', '405') Truth=[0.67]
T('2045', '4576') Truth=[0.67]
T('3488', '1064') Truth=[0.25]
T('3488', '1065') Truth=[0.25]
T('1721', '3605') Truth=[0]
T('749', '2279') Truth=[0.43]
T('4231', '4893') Truth=[0.67]
T('4231', '4892') Truth=[0.56]
T('3488', '1060') Truth=[0.25]
T('3287', '1612') Truth=[0.67]
T('4288', '1192') Truth=[0.31]
T('867', '3042') Truth=[0.67]
T('3422', '977') Truth=[0.1]
T('3419', '2329') Truth=[0]
T('4149', '4164') Truth=[0.27]
T('1497', '3633') Truth=[0.18]
T('2932', '2870') Truth=[0.14]
T('2014', '4072') Truth=[0.67]
T('1822', '718') Truth=[0.34]
T('2584', '2586') Truth=[0.59]
T('2282', '410') Truth=[0.53]
T('4149', '221') Truth=[0.2]
T('4001', '4941') Truth=[0.21]
T('1395', '3926') Truth=[0.5]
T('4231', '4882') Truth=[0.67]
T('4231', '4880') Truth=[0.67]
T('273', '3808') Truth=[0]
T('4231', '4887') Truth=[0.67]
T('1395', '3923') Truth=[0.43]
T('4231', '4886') Truth=[0.67]
T('74', '2575') Truth=[0]
T('4231', '4884') Truth=[0.67]
T('2963', '4291') Truth=[0.58]
T('3248', '4315') Truth=[0.39]
T('68', '2692') Truth=[0.38]
T('1446', '2934') Truth=[0]
T('3422', '4893') Truth=[0.44]
T('3422', '4892') Truth=[0.39]
T('4231', '4878') Truth=[0.67]
T('3090', '3003') Truth=[0.57]
T('223', '116') Truth=[0.3]
T('4231', '4872') Truth=[0.67]
T('4231', '4871') Truth=[0.67]
T('3612', '3936') Truth=[0.51]
T('3551', '3787') Truth=[0.51]
T('2671', '280') Truth=[0.67]
T('4231', '4875') Truth=[0.67]
T('85', '3720') Truth=[0.67]
T('766', '769') Truth=[0.67]
T('4231', '4873') Truth=[0.67]
T('4231', '3543') Truth=[0.21]
T('1796', '3611') Truth=[0.67]
T('1019', '1407') Truth=[0.36]
T('3422', '4887') Truth=[0.44]
T('1080', '3264') Truth=[0.45]
T('1080', '4595') Truth=[0.45]
T('2798', '4488') Truth=[0.59]
T('1733', '1732') Truth=[0.67]
T('4231', '4868') Truth=[0.67]
T('4231', '4867') Truth=[0.67]
T('3124', '2279') Truth=[0.67]
T('1733', '1730') Truth=[0.67]
T('4231', '4866') Truth=[0.67]
T('3488', '1058') Truth=[0.25]
T('4231', '3539') Truth=[0.56]
T('4231', '4861') Truth=[0.67]
T('726', '89') Truth=[0]
T('2143', '356') Truth=[0]
T('1394', '3950') Truth=[0]
T('1733', '1728') Truth=[0.67]
T('1104', '3048') Truth=[0.19]
T('3718', '881') Truth=[0.67]
T('1579', '1648') Truth=[0.58]
T('189', '2304') Truth=[0]
T('3111', '4812') Truth=[0.3]
T('3718', '889') Truth=[0.67]
T('3111', '4816') Truth=[0.3]
T('116', '3612') Truth=[0]
T('4424', '2460') Truth=[0]
T('2823', '3541') Truth=[0.67]
T('3512', '1447') Truth=[0.47]
T('1579', '1639') Truth=[0.58]
T('4024', '2788') Truth=[0]
T('1651', '2902') Truth=[0]
T('1856', '3636') Truth=[0.64]
T('2509', '1188') Truth=[0.44]
T('653', '1694') Truth=[0.47]
T('2390', '2899') Truth=[0.24]
T('3719', '881') Truth=[0.67]
T('3719', '880') Truth=[0.67]
T('3718', '896') Truth=[0.67]
T('3111', '4828') Truth=[0.3]
T('3718', '898') Truth=[0.67]
T('3718', '893') Truth=[0.67]
T('3718', '895') Truth=[0.67]
T('3719', '889') Truth=[0.67]
T('4941', '1198') Truth=[0]
T('3111', '4827') Truth=[0.3]
T('4967', '4802') Truth=[0.67]
T('662', '1556') Truth=[0.43]
T('2366', '3687') Truth=[0.67]
T('3248', '1921') Truth=[0.17]
T('2366', '3686') Truth=[0.67]
T('1411', '4055') Truth=[0.67]
T('3450', '418') Truth=[0.24]
T('1583', '1579') Truth=[0.57]
T('1024', '1192') Truth=[0.31]
T('780', '3653') Truth=[0.45]
T('3733', '609') Truth=[0.58]
T('2664', '4941') Truth=[0.04]
T('187', '2304') Truth=[0]
T('989', '4341') Truth=[0.39]
T('2487', '2686') Truth=[0.67]
T('1393', '4221') Truth=[0]
T('4024', '1434') Truth=[0]
T('825', '1422') Truth=[0.46]
T('3741', '4421') Truth=[0.16]
T('1990', '1116') Truth=[0.53]
T('3111', '4808') Truth=[0.3]
T('485', '4990') Truth=[0.67]
T('3248', '1901') Truth=[0.25]
T('3111', '4801') Truth=[0.3]
T('1838', '1287') Truth=[0.56]
T('3718', '880') Truth=[0.67]
T('802', '805') Truth=[0.67]
T('1208', '1668') Truth=[0.59]
T('3576', '1599') Truth=[0.67]
T('1428', '3464') Truth=[0.35]
T('2664', '1899') Truth=[0.48]
T('4999', '4472') Truth=[0.56]
T('4999', '4471') Truth=[0.42]
T('1497', '3488') Truth=[0.31]
T('2456', '2182') Truth=[0.49]
T('2456', '2185') Truth=[0.5]
T('2599', '3530') Truth=[0.18]
T('3304', '4355') Truth=[0.59]
T('1497', '872') Truth=[0.55]
T('3733', '1492') Truth=[0.67]
T('4836', '2870') Truth=[0.33]
T('1789', '2229') Truth=[0.67]
T('2177', '4576') Truth=[0.67]
T('2932', '1380') Truth=[0.11]
T('187', '4960') Truth=[0]
T('4660', '977') Truth=[0]
T('2664', '3600') Truth=[0.42]
T('69', '1863') Truth=[0.13]
T('3559', '3562') Truth=[0]
T('2916', '2039') Truth=[0.61]
T('4231', '2073') Truth=[0.28]
T('3533', '385') Truth=[0]
T('1379', '1378') Truth=[0.59]
T('2942', '1235') Truth=[0.58]
T('1037', '1887') Truth=[0.67]
T('2624', '642') Truth=[0.43]
T('4360', '2299') Truth=[0]
T('2406', '1428') Truth=[0.59]
T('1990', '3749') Truth=[0.43]
T('3251', '4055') Truth=[0.43]
T('68', '1863') Truth=[0.09]
T('2781', '1321') Truth=[0]
T('985', '4341') Truth=[0.39]
T('4433', '1878') Truth=[0.47]
T('3422', '2073') Truth=[0.19]
T('4533', '4635') Truth=[0.59]
T('811', '1586') Truth=[0.35]
T('1791', '2185') Truth=[0.19]
T('1369', '3264') Truth=[0.67]
T('1369', '4595') Truth=[0.67]
T('1791', '2182') Truth=[0.23]
T('4073', '2131') Truth=[0.32]
T('4309', '2919') Truth=[0]
T('1990', '2409') Truth=[0.56]
T('3172', '4968') Truth=[0.5]
T('223', '623') Truth=[0.33]
T('3559', '3548') Truth=[0.67]
T('468', '2577') Truth=[0.67]
T('4274', '1965') Truth=[0.37]
T('189', '4960') Truth=[0]
T('2443', '4079') Truth=[0.21]
T('2931', '4412') Truth=[0]
T('69', '4024') Truth=[0.48]
T('1110', '4978') Truth=[0.43]
T('1937', '189') Truth=[0]
T('69', '4026') Truth=[0]
T('4699', '2745') Truth=[0.67]
T('1937', '185') Truth=[0]
T('189', '185') Truth=[0]
T('3464', '1187') Truth=[0.5]
T('189', '187') Truth=[0]
T('86', '3377') Truth=[0]
T('3766', '3768') Truth=[0.27]
T('3111', '4892') Truth=[0.26]
T('183', '4960') Truth=[0]
T('2709', '1480') Truth=[0]
T('3111', '4893') Truth=[0.3]
T('2709', '1483') Truth=[0]
T('89', '726') Truth=[0]
T('559', '1058') Truth=[0.11]
T('831', '495') Truth=[0.42]
T('3950', '1545') Truth=[0.37]
T('1868', '3530') Truth=[0.25]
T('68', '4028') Truth=[0.67]
T('68', '4025') Truth=[0.67]
T('3928', '3646') Truth=[0.35]
T('68', '4024') Truth=[0.34]
T('68', '4026') Truth=[0]
T('3259', '1838') Truth=[0.67]
T('3767', '3768') Truth=[0.21]
T('1000', '1407') Truth=[0.49]
T('559', '1060') Truth=[0.11]
T('781', '1852') Truth=[0.67]
T('2356', '4293') Truth=[0.67]
T('559', '1064') Truth=[0.11]
T('559', '1065') Truth=[0.11]
T('1037', '1041') Truth=[0.67]
T('3766', '3771') Truth=[0.61]
T('3753', '3002') Truth=[0]
T('989', '3883') Truth=[0.47]
T('731', '751') Truth=[0.67]
T('802', '4717') Truth=[0.67]
T('87', '726') Truth=[0]
T('4150', '3470') Truth=[0.67]
T('4150', '3471') Truth=[0]
T('652', '1639') Truth=[0.45]
T('3111', '4875') Truth=[0.3]
T('3111', '4878') Truth=[0.3]
T('2147', '3612') Truth=[0]
T('3404', '3612') Truth=[0.53]
T('3820', '1316') Truth=[0.67]
T('3754', '1266') Truth=[0.67]
T('3111', '4872') Truth=[0.3]
T('3111', '4871') Truth=[0.3]
T('1366', '1518') Truth=[0.67]
T('1587', '3305') Truth=[0.16]
T('3111', '3543') Truth=[0.12]
T('3111', '4873') Truth=[0.3]
T('2932', '3189') Truth=[0.24]
T('3935', '4811') Truth=[0.67]
T('185', '4960') Truth=[0.3]
T('582', '3340') Truth=[0.57]
T('1389', '3069') Truth=[0.57]
T('652', '1648') Truth=[0.45]
T('2692', '2882') Truth=[0.24]
T('3111', '4887') Truth=[0.3]
T('3111', '4886') Truth=[0.3]
T('4497', '1192') Truth=[0.22]
T('187', '189') Truth=[0]
T('4967', '3538') Truth=[0.47]
T('3111', '4880') Truth=[0.3]
T('4158', '4703') Truth=[0.67]
T('3111', '4882') Truth=[0.3]
T('2443', '4950') Truth=[0.35]
T('3111', '4884') Truth=[0.3]
T('1497', '1700') Truth=[0.55]
T('187', '185') Truth=[0]
T('1497', '1703') Truth=[0.55]
T('273', '2147') Truth=[0.17]
T('1497', '1704') Truth=[0.55]
T('2898', '3573') Truth=[0.53]
T('3741', '4472') Truth=[0.17]
T('3450', '3051') Truth=[0.19]
T('4024', '4520') Truth=[0]
T('3111', '4854') Truth=[0.3]
T('3111', '4853') Truth=[0.3]
T('3741', '4471') Truth=[0.14]
T('3111', '4856') Truth=[0.3]
T('2371', '999') Truth=[0]
T('1865', '3530') Truth=[0.21]
T('1990', '2476') Truth=[0.58]
T('3805', '2882') Truth=[0.5]
T('3450', '3043') Truth=[0.41]
T('185', '2304') Truth=[0.3]
T('2711', '4400') Truth=[0.41]
T('3587', '4503') Truth=[0.31]
T('1587', '2870') Truth=[0.1]
T('3208', '2011') Truth=[0.59]
T('1570', '868') Truth=[0.59]
T('985', '3883') Truth=[0.47]
T('2273', '3867') Truth=[0.56]
T('726', '2114') Truth=[0]
T('1188', '185') Truth=[0]
T('1188', '187') Truth=[0]
T('1188', '189') Truth=[0]
T('3111', '4867') Truth=[0.3]
T('3111', '4866') Truth=[0.3]
T('4990', '1410') Truth=[0.44]
T('2709', '1449') Truth=[0]
T('4380', '790') Truth=[0.67]
T('3111', '4868') Truth=[0.3]
T('4836', '3305') Truth=[0.67]
T('3111', '3539') Truth=[0.26]
T('3111', '4861') Truth=[0.3]
T('3935', '4807') Truth=[0.59]
T('4380', '788') Truth=[0.67]
T('89', '3377') Truth=[0]
T('3296', '4424') Truth=[0.22]
T('625', '3736') Truth=[0.67]
T('2789', '1340') Truth=[0.59]
T('2898', '2220') Truth=[0]
T('3719', '893') Truth=[0.67]
T('3276', '778') Truth=[0.67]
T('3111', '4831') Truth=[0.3]
T('3111', '4833') Truth=[0.3]
T('3719', '896') Truth=[0.67]
T('3719', '895') Truth=[0.67]
T('3111', '4835') Truth=[0.3]
T('3719', '898') Truth=[0.67]
T('1517', '1519') Truth=[0.67]
T('2898', '971') Truth=[0.53]
T('2366', '3694') Truth=[0.67]
T('2366', '3696') Truth=[0.67]
T('3200', '2073') Truth=[0.34]
T('4058', '235') Truth=[0.67]
T('3733', '3254') Truth=[0.67]
T('2366', '3698') Truth=[0.57]
T('2509', '324') Truth=[0]
T('2898', '2228') Truth=[0]
T('1883', '1556') Truth=[0.57]
T('3741', '4447') Truth=[0.24]
T('2025', '1538') Truth=[0.47]
T('1866', '3530') Truth=[0.17]
T('3576', '4670') Truth=[0.67]
T('183', '2304') Truth=[0]
T('1101', '1102') Truth=[0.67]
T('322', '1198') Truth=[0.16]
T('3111', '4847') Truth=[0.3]
T('1547', '324') Truth=[0]
T('3217', '1470') Truth=[0.67]
T('2591', '4079') Truth=[0.24]
T('87', '3377') Truth=[0.18]
T('832', '495') Truth=[0.42]
T('625', '2421') Truth=[0.18]
T('2898', '968') Truth=[0.53]
T('2898', '2234') Truth=[0.53]
T('1899', '1430') Truth=[0.08]
T('570', '4864') Truth=[0.67]
T('1937', '2304') Truth=[0]
T('2620', '3318') Truth=[0]
T('2900', '968') Truth=[0.67]
T('1990', '350') Truth=[0.35]
T('4865', '4305') Truth=[0.67]
T('2671', '4046') Truth=[0]
T('1937', '4960') Truth=[0]
T('4234', '4705') Truth=[0.41]
T('2692', '726') Truth=[0]
T('4976', '876') Truth=[0.54]
T('185', '1937') Truth=[0]
T('2443', '2387') Truth=[0.56]
T('1791', '1792') Truth=[0.67]
T('99', '1521') Truth=[0.58]
T('3200', '2986') Truth=[0.36]
T('2241', '1621') Truth=[0.24]
T('3552', '4978') Truth=[0.34]
T('1410', '4990') Truth=[0.56]
T('4608', '2135') Truth=[0.59]
T('3432', '4602') Truth=[0.67]
T('4267', '4382') Truth=[0.67]
T('1414', '4940') Truth=[0.55]
T('780', '1901') Truth=[0.67]
T('4506', '1100') Truth=[0.13]
T('3892', '3155') Truth=[0]
T('1491', '2204') Truth=[0]
T('4412', '3908') Truth=[0.38]
T('726', '2204') Truth=[0]
T('102', '398') Truth=[0.48]
T('1865', '100') Truth=[0.35]
T('2472', '1521') Truth=[0.67]
T('1805', '3463') Truth=[0.58]
T('3454', '497') Truth=[0.67]
T('2599', '4086') Truth=[0.18]
T('1666', '2871') Truth=[0.22]
T('2900', '2228') Truth=[0]
T('3978', '495') Truth=[0.67]
T('2740', '2341') Truth=[0.57]
T('3419', '4802') Truth=[0]
T('2900', '2234') Truth=[0.62]
T('1759', '4424') Truth=[0.34]
T('1281', '2934') Truth=[0]
T('183', '1937') Truth=[0]
T('3', '2839') Truth=[0.28]
T('103', '371') Truth=[0.67]
T('4046', '2572') Truth=[0.13]
T('568', '4965') Truth=[0.67]
T('631', '280') Truth=[0]
T('468', '476') Truth=[0.67]
T('2591', '4950') Truth=[0.4]
T('3645', '2147') Truth=[0.17]
T('2900', '3573') Truth=[0.62]
T('2800', '2514') Truth=[0.55]
T('4106', '1407') Truth=[0]
T('3905', '495') Truth=[0.67]
T('4504', '1100') Truth=[0.38]
T('4035', '3117') Truth=[0.67]
T('2900', '971') Truth=[0.62]
T('2678', '988') Truth=[0.51]
T('189', '1937') Truth=[0]
T('4750', '4752') Truth=[0.67]
T('3769', '3771') Truth=[0]
T('3769', '3772') Truth=[0]
T('4046', '2564') Truth=[0.13]
T('4461', '4638') Truth=[0.67]
T('4865', '3891') Truth=[0.41]
T('87', '2114') Truth=[0.07]
T('4923', '1422') Truth=[0.64]
T('4836', '2073') Truth=[0.28]
T('3769', '3767') Truth=[0]
T('4399', '4546') Truth=[0.43]
T('3769', '3768') Truth=[0]
T('559', '3717') Truth=[0]
T('1237', '2635') Truth=[0.67]
T('3977', '495') Truth=[0.67]
T('4231', '2986') Truth=[0.31]
T('937', '4101') Truth=[0.67]
T('273', '2250') Truth=[0]
T('828', '633') Truth=[0.54]
T('1188', '2304') Truth=[0]
T('85', '2128') Truth=[0.67]
T('937', '4104') Truth=[0.67]
T('1188', '4960') Truth=[0]
T('568', '1876') Truth=[0.67]
T('1296', '4551') Truth=[0]
T('86', '2114') Truth=[0]
T('2900', '2220') Truth=[0]
T('1517', '2897') Truth=[0.58]
T('4922', '1425') Truth=[0.48]
T('3271', '1621') Truth=[0.3]
T('2523', '160') Truth=[0.67]
T('3111', '977') Truth=[0.08]
T('3768', '3767') Truth=[0.59]
T('2006', '2288') Truth=[0.67]
T('3767', '3772') Truth=[0.56]
T('2523', '158') Truth=[0.67]
T('3422', '2986') Truth=[0.21]
T('3125', '4702') Truth=[0.67]
T('4288', '3633') Truth=[0.39]
T('263', '1065') Truth=[0.67]
T('263', '1064') Truth=[0.67]
T('3070', '519') Truth=[0]
T('3769', '3766') Truth=[0]
T('263', '1060') Truth=[0.67]
T('1855', '210') Truth=[0.56]
T('3768', '3771') Truth=[0.48]
T('3768', '3772') Truth=[0.57]
T('426', '3565') Truth=[0.58]
T('1702', '3717') Truth=[0]
T('116', '223') Truth=[0]
T('4922', '2735') Truth=[0.55]
T('2829', '3583') Truth=[0.67]
T('263', '1058') Truth=[0.67]
T('2678', '2210') Truth=[0.45]
T('2366', '3707') Truth=[0.67]
T('3563', '3548') Truth=[0.67]
T('3718', '920') Truth=[0.67]
T('2755', '2220') Truth=[0]
T('2147', '223') Truth=[0]
T('3404', '223') Truth=[0]
T('3719', '913') Truth=[0.67]
T('3718', '929') Truth=[0.67]
T('2366', '3704') Truth=[0.67]
T('2366', '3703') Truth=[0.67]
T('2753', '3573') Truth=[0.56]
T('3718', '925') Truth=[0.67]
T('3271', '855') Truth=[0.3]
T('2366', '3705') Truth=[0.67]
T('3719', '918') Truth=[0.67]
T('765', '405') Truth=[0.23]
T('2591', '2387') Truth=[0.67]
T('765', '403') Truth=[0.23]
T('1929', '1187') Truth=[0.43]
T('3741', '1434') Truth=[0.18]
T('2755', '2228') Truth=[0]
T('1041', '1887') Truth=[0.67]
T('140', '4635') Truth=[0.67]
T('4149', '4081') Truth=[0.17]
T('3718', '930') Truth=[0.67]
T('3718', '932') Truth=[0.67]
T('631', '223') Truth=[0]
T('1948', '3538') Truth=[0.59]
T('1866', '4086') Truth=[0.17]
T('2366', '3710') Truth=[0.67]
T('3718', '939') Truth=[0.67]
T('3718', '934') Truth=[0.67]
T('3719', '920') Truth=[0.67]
T('3718', '936') Truth=[0.67]
T('2366', '3716') Truth=[0.67]
T('3719', '929') Truth=[0.67]
T('2807', '3867') Truth=[0.42]
T('3719', '925') Truth=[0.67]
T('3024', '2481') Truth=[0.67]
T('2755', '2234') Truth=[0.31]
T('1382', '1378') Truth=[0.47]
T('1702', '1192') Truth=[0.17]
T('1491', '4024') Truth=[0]
T('652', '843') Truth=[0.54]
T('1491', '4026') Truth=[0]
T('2753', '2228') Truth=[0]
T('1491', '4025') Truth=[0]
T('1666', '718') Truth=[0.29]
T('2753', '2220') Truth=[0]
T('4865', '4361') Truth=[0.67]
T('1655', '2160') Truth=[0.59]
T('2726', '4371') Truth=[0.67]
T('4365', '3632') Truth=[0.56]
T('4338', '3117') Truth=[0.67]
